id_me,morph,length_cm,weight_g,sex,mat,age,logCsize_dentary,logCsize_maxilla,logCsize_premaxilla,side,replica,bone,tooth_count
PC4320,LB,32.9,385,M,7,6,1.2718351,1.3119226,-0.089353729,Right,May,Maxilla,21
PC4321,LB,30.8,320,M,7,7,1.2610109,1.3107995,-0.203162239,Right,May,Maxilla,21
PC4322,LB,41.4,980,M,7,8,1.5666674,1.6615154,0.108028004,Right,May,Maxilla,23
PC4323,LB,41.7,920,F,7,8,1.4117025,1.5235916,-0.022046351,Right,May,Maxilla,19
PC4324,LB,44,1040,M,7,9,1.7035511,1.7371992,0.235104336,Right,May,Maxilla,23
PC4325,LB,34,400,M,7,8,1.4340854,1.5379994,-0.031540347,Right,May,Maxilla,24
PC4326,LB,39.9,780,M,7,8,1.5223078,1.6107263,-0.059815089,Right,May,Maxilla,18
PC4327,LB,53,1935,M,7,9,1.8494556,1.9067253,0.337557181,Right,May,Maxilla,21
PC4328,LB,41.2,780,M,7,8,1.7443661,1.791991,0.263160882,Right,May,Maxilla,24
PC4329,LB,35.4,670,M,7,7,1.5026374,1.546863,0.056267205,Right,May,Maxilla,22
PC4330,LB,41.9,925,M,7,7,1.5451679,1.6367833,0.228754012,Right,May,Maxilla,20
PC4331,LB,40.8,800,F,7,11,1.507682,1.5876506,0.13764431,Right,May,Maxilla,21
PC4332,LB,30.3,330,M,7,7,1.1887599,1.2816562,-0.131092114,Right,May,Maxilla,18
PC4333,LB,43,830,M,7,7,1.6526753,1.6951557,0.263707931,Right,May,Maxilla,20
PC4334,LB,44,960,F,7,8,1.4394487,1.5919754,0.133180788,Right,May,Maxilla,23
PC4349,PL,25.2,119.64,F,7,7,0.9854856,0.9769251,-0.620208443,Right,May,Maxilla,19
PC4350,PL,17.4,38.03,M,7,6,0.5946098,0.5415976,-0.964643694,Right,May,Maxilla,16
PC4351,PL,19,54.31,M,7,6,0.7490944,0.7631699,-0.873499125,Right,May,Maxilla,19
PC4352,PL,21.2,76.26,F,7,6,0.8378394,0.8073999,-0.830791282,Right,May,Maxilla,18
PC4353,PL,17.4,38.43,F,7,6,0.557816,0.622764,-1.032990292,Right,May,Maxilla,18
PC4354,PL,21.4,77.76,M,7,6,0.8380185,0.8188653,-0.758804054,Right,May,Maxilla,19
PC4355,PL,18,40.49,M,7,6,0.6712597,0.7022678,-1.042192157,Right,May,Maxilla,20
PC4356,PL,21.4,74.03,M,7,6,0.8338468,0.8507629,-0.822997859,Right,May,Maxilla,20
PC4357,PL,21.8,89.24,F,7,7,0.8352438,0.8423585,-0.79397781,Right,May,Maxilla,19
PC4358,PL,21,70.3,F,7,6,0.8009874,0.7967478,-0.750251308,Right,May,Maxilla,19
PC4359,PL,22.4,101.1,F,7,7,0.9499243,0.9494218,-0.742600709,Right,May,Maxilla,20
PC4360,PL,23.2,91.75,F,7,8,0.9165008,0.9113611,-0.639858276,Right,May,Maxilla,22
PC4361,PL,21.4,80.68,F,7,7,0.865553,0.8588207,-0.720938419,Right,May,Maxilla,20
PC4362,PL,19.2,58.28,M,7,4,0.7587582,0.7423301,-0.832704544,Right,May,Maxilla,16
PC4363,PL,18.2,41.6,F,7,6,0.6508501,0.6655296,-0.912761503,Right,May,Maxilla,15
PC4364,PL,20.4,62.64,F,7,7,0.7989202,0.8018161,-0.864753589,Right,May,Maxilla,19
PC4365,PL,24,109.96,F,7,8,0.9724292,1.0183329,-0.611012976,Right,May,Maxilla,19
PC4366,PL,15.8,27.36,M,7,5,0.6262606,0.5192614,-1.045715026,Right,May,Maxilla,16
PC4367,PL,19.2,57.5,F,7,6,0.6670281,0.7213126,-0.899862316,Right,May,Maxilla,17
PC4368,PL,20,55.21,F,7,5,0.7577275,0.683579,-1.021555053,Right,May,Maxilla,18
PC4369,PL,18.2,49.95,F,7,6,0.6478851,0.6556324,-0.948246321,Right,May,Maxilla,18
PC4370,PL,23.6,102.51,M,7,7,1.0026172,1.0567673,-0.563540392,Right,May,Maxilla,21
PC4371,LB,50,1340,F,2,NA,1.7896223,1.8572783,0.399423282,Right,May,Maxilla,NA
PC4372,PI,45.4,1030,M,7,12,1.9763047,1.9370398,0.478222269,Right,May,Maxilla,24
PC4373,LB,37.6,730,F,2,7,1.2732709,1.3370201,-0.143835154,Right,May,Maxilla,21
PC4374,PI,37.6,500,F,7,9,1.4618751,1.452667,-0.074467004,Right,May,Maxilla,19
PC4375,LB,52.8,1500,F,2,12,1.7304235,1.7747447,0.308486599,Right,May,Maxilla,20
PC4376,LB,40.4,765,F,2,8,1.4707434,1.4969956,-0.066295674,Right,May,Maxilla,23
PC4377,PI,52.4,1505,M,6,9,1.924652,1.9358185,0.521937486,Right,May,Maxilla,24
PC4378,PI,41.2,680,M,7,8,1.7331607,1.640413,0.120359249,Right,May,Maxilla,26
PC4379,LB,46.2,1315,M,1,7,1.5981385,1.7602775,0.278871307,Right,May,Maxilla,19
PC4380,PI,46,1255,M,1,7,1.815156,1.8254595,0.445024495,Right,May,Maxilla,19
