id_me,morph,length_cm,weight_g,logCsize_M,sex,age,sideLR,tooth,top,side,angle
PC4372,PI,45.4,1030,1.9370398,M,,Left,1,0.57,0.78,36.1581854
PC4373,LB,37.6,730,1.3370201,F,,Left,1,0.4,0.25,57.9946168
PC4374,PI,37.6,500,1.452667,F,,Left,1,0.39,0.46,40.2921478
PC4375,LB,52.8,1500,1.7747447,F,,Left,1,0.53,0.35,56.5601308
PC4376,LB,40.4,765,1.4969956,F,,Left,1,0.37,0.35,46.5911403
PC4377,PI,52.4,1505,1.9358185,M,,Left,1,0.58,0.67,40.8818103
PC4378,PI,41.2,680,1.640413,M,,Left,1,0.32,0.45,35.4170553
PC4379,LB,46.2,1315,1.7602775,M,,Left,1,0.46,0.34,53.5307656
PC4380,PI,46,1255,1.8254595,M,,Left,1,0.48,0.51,43.2642954
PC4381,PI,36,525,1.6926995,M,,Left,1,0.52,0.75,34.7348595
PC4382,PI,44.2,940,1.7479365,M,,Left,1,0.47,0.54,41.0353453
PC4383,PI,34.6,375,1.4297385,M,,Left,1,0.32,0.52,31.6075023
PC4384,PI,43.8,995,1.6748957,F,,Left,1,0.49,0.56,41.1859252
PC4385,PI,36.4,380,1.5198259,M,,Left,1,0.41,0.53,37.724995
PC4386,PI,36.6,435,1.5871455,M,,Left,1,0.34,0.46,36.4692344
PC4387,LB,40.6,750,1.5769722,M,,Left,1,0.41,0.45,42.3369992
PC4388,LB,38,615,1.4050373,M,,Left,1,0.33,0.26,51.7661748
PC4389,PI,42,725,1.8302674,M,,Left,1,0.4,0.69,30.1013046
PC4390,PI,37.8,485,1.5230084,M,,Left,1,0.34,0.63,28.3549618
PC4391,PL,23.6,100,0.9004726,F,,Left,1,0.18,0.15,50.1944289
PC4392,PI,30.2,235,1.3152082,F,,Left,1,0.23,0.32,35.7066914
PC4393,PI,36.7,575,1.5627847,M,,Left,1,0.4,0.38,46.4688007
PC3831,LB,42.5,1061,1.58071,F,8,Right,1,0.39,0.57,34.3803447
PC3839,PI,42.8,1131,1.7564629,M,9,Right,1,0.56,0.63,41.6335393
PC3840,LB,37.1,672,1.4378166,M,7,Right,1,0.31,0.5,31.7989128
PC3841,PI,49.5,1714,1.9217087,M,9,Right,1,0.21,0.85,13.8775298
PC3842,LB,42,1010,1.8412973,M,8,Right,1,0.31,0.56,28.9676607
PC3843,LB,40.7,815,1.8129056,M,9,Right,1,0.37,0.61,31.2392149
PC3844,LB,34.7,504,1.459648,M,7,Right,1,0.33,0.45,36.2538377
PC3845,PI,46.9,1455,2.0275085,M,11,Right,1,0.45,0.5,41.9872125
PC3846,PI,43,990,1.7665138,M,9,Right,1,0.36,0.7,27.2161116
PC3847,PI,36.7,655,1.5849015,M,8,Right,1,0.46,0.41,48.2892427
PC3848,PI,41.2,1001,1.7885364,M,9,Right,1,0.47,0.74,32.4210648
PC3849,LB,33.8,362,1.5337752,F,7,Right,1,0.42,0.55,37.3666694
PC3851,PL,22.3,130,1.0937171,M,9,Right,1,0.21,0.21,45
PC3855,PL,19.4,74,0.8475624,M,5,Right,1,0.1,0.21,25.4633451
PC3859,PL,14.8,36,0.5783102,M,5,Right,1,0.07,0.15,25.0168935
PC3863,PL,14,33,0.5643297,M,4,Right,1,0.09,0.15,30.9637565
PC3864,PI,45,1078,1.8850439,M,9,Right,1,0.26,0.41,32.3806777
PC3865,PI,24.5,162,1.1188713,M,7,Right,1,0.08,0.29,15.4221613
